Ward,Office,Party,Candidate,Total,Total Percentage
8,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,1853,100.00%
8,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,1271,100.00%
8,STATE REPRESENTATIVE DISTRICT 81,Democratic,TONY KIRCHNER,17,27.42%
8,STATE REPRESENTATIVE DISTRICT 81,Democratic,AARON NATHANIEL CLITE,9,14.52%
8,STATE REPRESENTATIVE DISTRICT 81,Democratic,JAMES (JIMMY) LAPPE,36,58.06%
8,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,3258,100.00%
8,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2590,76.09%
8,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,814,23.91%
8,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",418,11.65%
8,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,1037,28.89%
8,RECORDER OF DEEDS,Democratic,SHANE COHN,1676,46.70%
8,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",458,12.76%
8,RECORDER OF DEEDS,Green,JEROME H. BAUER,5,55.56%
8,RECORDER OF DEEDS,Green,DON DE VIVO,4,44.44%
8,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,4066,91.99%
8,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,354,8.01%
8,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,3254,76.85%
8,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,980,23.15%
8,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,353,7.92%
8,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,4102,92.08%
8,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,422,9.47%
8,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,4034,90.53%
8,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,3590,83.61%
8,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,704,16.39%
9,STATE AUDITOR,Republican,SCOTT FITZPATRICK,106,84.13%
9,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,20,15.87%
9,STATE AUDITOR,Democratic,QUENTIN WILSON,2347,69.56%
9,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1027,30.44%
9,STATE AUDITOR,Libertarian,DUSTIN COFFELL,9,100.00%
9,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,57,47.90%
9,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,62,52.10%
9,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,71,1.70%
9,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,48,1.15%
9,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1679,40.17%
9,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,2369,56.67%
9,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,13,0.31%
9,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,10,100.00%
9,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,77,17.42%
9,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,365,82.58%
9,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,3323,100.00%
9,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,8,100.00%
9,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,3381,100.00%
9,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2826,80.47%
9,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,686,19.53%
9,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",434,12.02%
9,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,1039,28.78%
9,RECORDER OF DEEDS,Democratic,SHANE COHN,1639,45.40%
9,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",498,13.80%
9,RECORDER OF DEEDS,Green,JEROME H. BAUER,8,66.67%
9,RECORDER OF DEEDS,Green,DON DE VIVO,4,33.33%
9,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,4157,91.64%
9,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,379,8.36%
9,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,3316,76.37%
9,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1026,23.63%
9,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,346,7.57%
9,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,4223,92.43%
9,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,427,9.34%
9,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,4145,90.66%
9,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,3741,84.95%
9,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,663,15.05%
9,CWE SOUTH SBD,Nonpartisan,YES - FOR THE PROPOSITION,357,67.36%
9,CWE SOUTH SBD,Nonpartisan,NO - AGAINST THE PROPOSITION,173,32.64%
10,STATE AUDITOR,Republican,SCOTT FITZPATRICK,67,77.91%
10,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,19,22.09%
10,STATE AUDITOR,Democratic,QUENTIN WILSON,1920,66.64%
10,STATE AUDITOR,Democratic,GREGORY UPCHURCH,961,33.36%
10,STATE AUDITOR,Libertarian,DUSTIN COFFELL,4,100.00%
10,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,46,53.49%
10,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,40,46.51%
10,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,45,1.29%
10,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,30,0.86%
10,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1450,41.59%
10,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1953,56.02%
10,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,8,0.23%
10,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,5,100.00%
10,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,812,31.64%
10,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,1754,68.36%
10,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,183,100.00%
10,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,1,100.00%
10,STATE REPRESENTATIVE DISTRICT 84,Republican,ROBERT VROMAN,75,100.00%
10,STATE REPRESENTATIVE DISTRICT 84,Democratic,DEL TAYLOR,2661,100.00%
10,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,2919,100.00%
10,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2673,86.62%
10,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,413,13.38%
10,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",531,17.13%
10,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,714,23.04%
10,RECORDER OF DEEDS,Democratic,SHANE COHN,927,29.91%
10,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",927,29.91%
10,RECORDER OF DEEDS,Green,JEROME H. BAUER,5,71.43%
10,RECORDER OF DEEDS,Green,DON DE VIVO,2,28.57%
10,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,3122,84.88%
10,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,556,15.12%
10,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,2674,75.26%
10,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,879,24.74%
10,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,326,8.77%
10,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,3391,91.23%
10,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,432,11.61%
10,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,3290,88.39%
10,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,2737,75.65%
10,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,881,24.35%
11,STATE AUDITOR,Republican,SCOTT FITZPATRICK,22,81.48%
11,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,5,18.52%
11,STATE AUDITOR,Democratic,QUENTIN WILSON,912,59.11%
11,STATE AUDITOR,Democratic,GREGORY UPCHURCH,631,40.89%
11,STATE AUDITOR,Libertarian,DUSTIN COFFELL,3,100.00%
11,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,14,53.85%
11,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,12,46.15%
11,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,40,2.25%
11,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,23,1.30%
11,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,692,38.96%
11,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1018,57.32%
11,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,3,0.17%
11,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,2,100.00%
11,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,318,100.00%
11,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,438,100.00%
11,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,3,100.00%
11,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,2,100.00%
11,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,18,100.00%
11,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,216,26.60%
11,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,234,28.82%
11,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,362,44.58%
11,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,1507,100.00%
11,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",1556,91.53%
11,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,144,8.47%
11,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",503,30.48%
11,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,338,20.48%
11,RECORDER OF DEEDS,Democratic,SHANE COHN,325,19.70%
11,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",484,29.33%
11,RECORDER OF DEEDS,Green,JEROME H. BAUER,5,83.33%
11,RECORDER OF DEEDS,Green,DON DE VIVO,1,16.67%
11,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,1324,72.63%
11,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,499,27.37%
11,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,1140,63.97%
11,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,642,36.03%
11,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,229,12.37%
11,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,1622,87.63%
11,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,298,16.10%
11,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,1553,83.90%
11,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,1068,59.63%
11,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,723,40.37%
12,STATE AUDITOR,Republican,SCOTT FITZPATRICK,25,75.76%
12,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,8,24.24%
12,STATE AUDITOR,Democratic,QUENTIN WILSON,1393,59.63%
12,STATE AUDITOR,Democratic,GREGORY UPCHURCH,943,40.37%
12,STATE AUDITOR,Libertarian,DUSTIN COFFELL,2,100.00%
12,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,13,37.14%
12,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,22,62.86%
12,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,47,1.77%
12,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,25,0.94%
12,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1000,37.74%
12,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1568,59.17%
12,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,10,0.38%
12,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,3,100.00%
12,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,583,100.00%
12,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,1103,100.00%
12,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,2,100.00%
12,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,3,100.00%
12,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,79,25.32%
12,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,80,25.64%
12,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,153,49.04%
12,STATE REPRESENTATIVE DISTRICT 84,Republican,ROBERT VROMAN,2,100.00%
12,STATE REPRESENTATIVE DISTRICT 84,Democratic,DEL TAYLOR,308,100.00%
12,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,2284,100.00%
12,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2359,92.62%
12,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,188,7.38%
12,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",690,27.57%
12,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,357,14.26%
12,RECORDER OF DEEDS,Democratic,SHANE COHN,573,22.89%
12,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",883,35.28%
12,RECORDER OF DEEDS,Green,JEROME H. BAUER,2,100.00%
12,RECORDER OF DEEDS,Green,DON DE VIVO,0,0.00%
12,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,1917,70.76%
12,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,792,29.24%
12,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,1736,64.75%
12,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,945,35.25%
12,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,337,12.28%
12,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,2408,87.72%
12,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,429,15.61%
12,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,2320,84.39%
12,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,1516,56.40%
12,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,1172,43.60%
13,STATE AUDITOR,Republican,SCOTT FITZPATRICK,31,77.50%
13,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,9,22.50%
13,STATE AUDITOR,Democratic,QUENTIN WILSON,1544,63.51%
13,STATE AUDITOR,Democratic,GREGORY UPCHURCH,887,36.49%
13,STATE AUDITOR,Libertarian,DUSTIN COFFELL,4,100.00%
13,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,17,42.50%
13,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,23,57.50%
13,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,50,1.80%
13,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,22,0.79%
13,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,929,33.36%
13,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1774,63.70%
13,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,10,0.36%
13,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,5,100.00%
13,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,46,40.35%
13,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,68,59.65%
13,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,1754,100.00%
13,STATE REPRESENTATIVE DISTRICT 84,Republican,ROBERT VROMAN,9,100.00%
13,STATE REPRESENTATIVE DISTRICT 84,Democratic,DEL TAYLOR,631,100.00%
13,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,2441,100.00%
13,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",2496,93.17%
13,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,183,6.83%
13,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",820,31.20%
13,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,308,11.72%
13,RECORDER OF DEEDS,Democratic,SHANE COHN,739,28.12%
13,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",761,28.96%
13,RECORDER OF DEEDS,Green,JEROME H. BAUER,1,50.00%
13,RECORDER OF DEEDS,Green,DON DE VIVO,1,50.00%
13,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,1988,70.65%
13,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,826,29.35%
13,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,1924,68.84%
13,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,871,31.16%
13,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,311,10.86%
13,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,2554,89.14%
13,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,371,12.94%
13,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,2496,87.06%
13,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,1601,57.78%
13,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,1170,42.22%
14,STATE AUDITOR,Republican,SCOTT FITZPATRICK,46,80.70%
14,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,11,19.30%
14,STATE AUDITOR,Democratic,QUENTIN WILSON,1055,63.94%
14,STATE AUDITOR,Democratic,GREGORY UPCHURCH,595,36.06%
14,STATE AUDITOR,Libertarian,DUSTIN COFFELL,11,100.00%
14,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,30,53.57%
14,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,26,46.43%
14,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,37,1.87%
14,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,27,1.36%
14,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,826,41.68%
14,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1082,54.59%
14,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,10,0.50%
14,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,12,100.00%
14,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,184,100.00%
14,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,1035,100.00%
14,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,2,100.00%
14,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,113,30.05%
14,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,93,24.73%
14,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,170,45.21%
14,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,1649,100.00%
14,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",1536,85.33%
14,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,264,14.67%
14,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",416,23.38%
14,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,364,20.46%
14,RECORDER OF DEEDS,Democratic,SHANE COHN,530,29.79%
14,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",469,26.36%
14,RECORDER OF DEEDS,Green,JEROME H. BAUER,3,60.00%
14,RECORDER OF DEEDS,Green,DON DE VIVO,2,40.00%
14,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,1706,80.89%
14,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,403,19.11%
14,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,1350,66.24%
14,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,688,33.76%
14,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,238,11.14%
14,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,1898,88.86%
14,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,324,15.15%
14,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,1815,84.85%
14,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,1443,69.88%
14,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,622,30.12%
