Ward,Office,Party,Candidate,Total,Total Percentage
2,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,4642,100.00%
2,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",3285,70.54%
2,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,1372,29.46%
2,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",465,9.41%
2,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,1880,38.04%
2,RECORDER OF DEEDS,Democratic,SHANE COHN,2131,43.12%
2,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",466,9.43%
2,RECORDER OF DEEDS,Green,JEROME H. BAUER,8,61.54%
2,RECORDER OF DEEDS,Green,DON DE VIVO,5,38.46%
2,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,5867,90.89%
2,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,588,9.11%
2,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,4829,78.58%
2,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1316,21.42%
2,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,795,12.23%
2,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,5703,87.77%
2,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,811,12.46%
2,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,5698,87.54%
2,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,4979,79.44%
2,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,1289,20.56%
3,STATE AUDITOR,Republican,SCOTT FITZPATRICK,128,87.07%
3,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,19,12.93%
3,STATE AUDITOR,Democratic,QUENTIN WILSON,1266,63.84%
3,STATE AUDITOR,Democratic,GREGORY UPCHURCH,717,36.16%
3,STATE AUDITOR,Libertarian,DUSTIN COFFELL,3,100.00%
3,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,63,43.45%
3,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,82,56.55%
3,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,64,2.75%
3,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,23,0.99%
3,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1207,51.85%
3,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1018,43.73%
3,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,16,0.69%
3,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,4,100.00%
3,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,155,42.47%
3,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,210,57.53%
3,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,336,100.00%
3,STATE REPRESENTATIVE DISTRICT 80,Republican,JENNIE DRAG,46,100.00%
3,STATE REPRESENTATIVE DISTRICT 80,Democratic,ELIZABETH (LILLY) FUCHS,443,100.00%
3,STATE REPRESENTATIVE DISTRICT 81,Democratic,TONY KIRCHNER,344,27.09%
3,STATE REPRESENTATIVE DISTRICT 81,Democratic,AARON NATHANIEL CLITE,301,23.70%
3,STATE REPRESENTATIVE DISTRICT 81,Democratic,JAMES (JIMMY) LAPPE,625,49.21%
3,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,1936,100.00%
3,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",1671,79.46%
3,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,432,20.54%
3,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",297,13.52%
3,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,346,15.76%
3,RECORDER OF DEEDS,Democratic,SHANE COHN,1212,55.19%
3,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",341,15.53%
3,RECORDER OF DEEDS,Green,JEROME H. BAUER,3,60.00%
3,RECORDER OF DEEDS,Green,DON DE VIVO,2,40.00%
3,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,2183,84.84%
3,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,390,15.16%
3,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,1712,68.26%
3,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,796,31.74%
3,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,304,11.72%
3,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,2290,88.28%
3,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,327,12.60%
3,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,2269,87.40%
3,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,1819,72.38%
3,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,694,27.62%
4,STATE AUDITOR,Republican,SCOTT FITZPATRICK,416,87.95%
4,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,57,12.05%
4,STATE AUDITOR,Democratic,QUENTIN WILSON,2913,64.94%
4,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1573,35.06%
4,STATE AUDITOR,Libertarian,DUSTIN COFFELL,32,100.00%
4,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,225,47.67%
4,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,247,52.33%
4,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,179,3.13%
4,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,68,1.19%
4,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,2475,43.35%
4,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,2950,51.66%
4,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,38,0.67%
4,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,34,100.00%
4,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,1694,31.13%
4,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,3748,68.87%
4,STATE REPRESENTATIVE DISTRICT 82,Democratic,NICK KIMBLE,2976,100.00%
4,STATE REPRESENTATIVE DISTRICT 84,Republican,ROBERT VROMAN,129,100.00%
4,STATE REPRESENTATIVE DISTRICT 84,Democratic,DEL TAYLOR,1429,100.00%
4,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,4640,100.00%
4,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",3315,71.71%
4,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,1308,28.29%
4,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",430,8.63%
4,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,2297,46.08%
4,RECORDER OF DEEDS,Democratic,SHANE COHN,1747,35.05%
4,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",511,10.25%
4,RECORDER OF DEEDS,Green,JEROME H. BAUER,8,66.67%
4,RECORDER OF DEEDS,Green,DON DE VIVO,4,33.33%
4,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,6150,92.89%
4,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,471,7.11%
4,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,4896,78.41%
4,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1348,21.59%
4,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,536,8.02%
4,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,6146,91.98%
4,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,592,8.85%
4,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,6094,91.15%
4,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,5180,81.19%
4,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,1200,18.81%
5,STATE AUDITOR,Republican,SCOTT FITZPATRICK,421,91.32%
5,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,40,8.68%
5,STATE AUDITOR,Democratic,QUENTIN WILSON,3154,66.09%
5,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1618,33.91%
5,STATE AUDITOR,Libertarian,DUSTIN COFFELL,27,100.00%
5,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,237,51.52%
5,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,223,48.48%
5,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,159,2.65%
5,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,72,1.20%
5,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,2842,47.38%
5,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,2894,48.25%
5,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,31,0.52%
5,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,25,100.00%
5,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,1925,33.61%
5,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,3803,66.39%
5,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,16,100.00%
5,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,0,0.00%
5,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,5,100.00%
5,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,218,54.23%
5,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,77,19.15%
5,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,107,26.62%
5,STATE REPRESENTATIVE DISTRICT 80,Republican,JENNIE DRAG,90,100.00%
5,STATE REPRESENTATIVE DISTRICT 80,Democratic,ELIZABETH (LILLY) FUCHS,1508,100.00%
5,STATE REPRESENTATIVE DISTRICT 81,Democratic,TONY KIRCHNER,17,34.69%
5,STATE REPRESENTATIVE DISTRICT 81,Democratic,AARON NATHANIEL CLITE,12,24.49%
5,STATE REPRESENTATIVE DISTRICT 81,Democratic,JAMES (JIMMY) LAPPE,20,40.82%
5,STATE REPRESENTATIVE DISTRICT 82,Democratic,NICK KIMBLE,2853,100.00%
5,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,4901,100.00%
5,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",3667,73.78%
5,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,1303,26.22%
5,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",469,8.89%
5,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,2185,41.44%
5,RECORDER OF DEEDS,Democratic,SHANE COHN,2098,39.79%
5,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",521,9.88%
5,RECORDER OF DEEDS,Green,JEROME H. BAUER,1,50.00%
5,RECORDER OF DEEDS,Green,DON DE VIVO,1,50.00%
5,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,6375,92.96%
5,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,483,7.04%
5,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,5234,79.79%
5,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1326,20.21%
5,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,576,8.31%
5,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,6352,91.69%
5,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,642,9.25%
5,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,6296,90.75%
5,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,5531,83.37%
5,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,1103,16.63%
6,STATE AUDITOR,Republican,SCOTT FITZPATRICK,155,84.24%
6,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,29,15.76%
6,STATE AUDITOR,Democratic,QUENTIN WILSON,3962,75.68%
6,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1273,24.32%
6,STATE AUDITOR,Libertarian,DUSTIN COFFELL,16,100.00%
6,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,84,46.41%
6,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,97,53.59%
6,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,104,1.63%
6,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,72,1.13%
6,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,3948,61.73%
6,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,2255,35.26%
6,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,17,0.27%
6,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,16,100.00%
6,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,948,19.18%
6,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,3994,80.82%
6,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,107,100.00%
6,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,62,100.00%
6,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,1822,72.30%
6,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,283,11.23%
6,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,415,16.47%
6,STATE REPRESENTATIVE DISTRICT 80,Republican,JENNIE DRAG,86,100.00%
6,STATE REPRESENTATIVE DISTRICT 80,Democratic,ELIZABETH (LILLY) FUCHS,2939,100.00%
6,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,5297,100.00%
6,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",4503,82.38%
6,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,963,17.62%
6,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",487,8.61%
